order_id,order_purchase_timestamp,customer_state,main_product_category,payment_total,target_low_review,risk_probability,strategy,delivery_days,delivery_delta_days,is_late,risk_rank,risk_percentile,predicted_at_best_threshold,review_score_mean,is_low_review,recommended_coverage_share,assignment_group,experiment_unit,primary_metric,contact_cost_brl
1b15974a0141d54e36626dca3fdc731a,2018-02-22 15:30:41,SP,computers_accessories,2202.4,1,0.999723494534822,purchase_time,,,,,,,1.0,True,0.05,treatment,order_id,low_review_rate,3.0
1c11d0f4353b31ac3417fbfa5f0f2a8a,2018-01-27 11:28:32,RS,bed_bath_table,421.69,1,0.9995040111977936,purchase_time,,,,,,,1.0,True,0.05,treatment,order_id,low_review_rate,3.0
cf5c8d9f52807cb2d2f0a0ff54c478da,2018-08-24 13:04:05,MT,electronics,217.18,1,0.9993490253661618,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
7f2c22c54cbae55091a09a9653fd2b8a,2018-03-10 10:53:51,GO,furniture_decor,1048.31,0,0.9979310389513356,purchase_time,,,,,,,3.0,False,0.05,treatment,order_id,low_review_rate,3.0
30bdf3d824d824610a49887486debcaf,2018-03-27 14:29:03,SP,computers_accessories,785.24,0,0.9973928126907488,purchase_time,,,,,,,5.0,False,0.05,treatment,order_id,low_review_rate,3.0
71dab1155600756af6de79de92e712e3,2018-02-01 18:32:02,BA,office_furniture,1988.55,0,0.9973783921849784,purchase_time,,,,,,,3.0,False,0.05,treatment,order_id,low_review_rate,3.0
0c82a229fc22597c2361656cba8d3230,2018-05-15 16:10:38,SP,furniture_decor,566.09,0,0.9962240815814908,purchase_time,,,,,,,5.0,False,0.05,control,order_id,low_review_rate,3.0
70b7e94ea46d3e8b5bc12a50186edaf0,2018-01-01 13:06:57,MG,telephony,274.84,1,0.9960151410423882,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
637617b3ffe9e2f7a2411243829226d0,2018-04-17 21:08:59,SC,baby,1246.97,0,0.9958999314354324,purchase_time,,,,,,,4.0,False,0.05,control,order_id,low_review_rate,3.0
62073ec6b54b8e6322037fc0f3591ad3,2018-04-02 12:22:06,RJ,office_furniture,1316.14,1,0.9957603349142088,purchase_time,,,,,,,2.0,True,0.05,control,order_id,low_review_rate,3.0
9bdc4d4c71aa1de4606060929dee888c,2018-02-21 11:45:07,SP,telephony,528.78,1,0.9953577223768288,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
62ce4e3989a3477928510bb4d1064cc4,2018-07-19 01:35:59,SP,furniture_decor,276.34,1,0.995230675729954,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
9a2b443dc8e6673e4fc330b3ea033569,2018-04-13 10:09:10,SP,health_beauty,457.2,0,0.9950405018539256,purchase_time,,,,,,,5.0,False,0.05,control,order_id,low_review_rate,3.0
ca3625898fbd48669d50701aba51cd5f,2018-08-12 02:11:20,SP,construction_tools_construction,1157.28,0,0.9948614644888664,purchase_time,,,,,,,3.0,False,0.05,treatment,order_id,low_review_rate,3.0
9bdf94af058f959fbc09c3ea1eb32465,2018-04-19 11:17:55,SP,furniture_decor,227.63,1,0.9943825006225684,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
1d23106803c48c391366ff224513fb7f,2018-01-26 16:19:34,RS,bed_bath_table,214.19,1,0.9942304413391276,purchase_time,,,,,,,1.0,True,0.05,treatment,order_id,low_review_rate,3.0
af822dacd6f5cff7376413c03a388bb7,2018-06-08 16:42:11,MG,housewares,244.02,1,0.9938768343558017,purchase_time,,,,,,,1.0,True,0.05,control,order_id,low_review_rate,3.0
