strategy,coverage_share,orders_contacted,observed_low_reviews_in_segment,low_reviews_captured_share,segment_low_review_rate,lift_vs_baseline,cost_per_contact_brl,assumed_intervention_effectiveness,value_per_successful_recovery_brl,expected_successful_recoveries,intervention_cost_brl,expected_benefit_brl,expected_net_value_brl,expected_roi,random_selection_expected_net_value_brl,incremental_net_value_vs_random_brl,break_even_effectiveness
purchase_time,0.01,525,255,0.036288601110004266,0.4857142857142857,3.626648234361341,3.0,0.15,75.0,38.25,1575.0,2868.75,1293.75,0.8214285714285714,-783.980354692384,2077.730354692384,0.08235294117647059
purchase_time,0.02,1050,447,0.06361178312224278,0.4257142857142857,3.178650511293175,3.0,0.15,75.0,67.05,3150.0,5028.75,1878.75,0.5964285714285714,-1567.960709384768,3446.710709384768,0.09395973154362416
purchase_time,0.05,2624,945,0.1344812864664864,0.3601371951219512,2.689010723446497,3.0,0.15,75.0,141.75,7872.0,10631.25,2759.25,0.3505144817073171,-3918.4084775482197,6677.65847754822,0.11106878306878307
purchase_time,0.1,5247,1542,0.21943930553579052,0.2938822184105203,2.194309411635574,3.0,0.15,75.0,231.29999999999998,15741.0,17347.5,1606.5,0.10205831903945112,-7835.32365918274,9441.82365918274,0.1361089494163424
purchase_time,0.2,10494,2516,0.3580475309520421,0.23975605107680578,1.7901694162370634,3.0,0.15,75.0,377.4,31482.0,28305.0,-3177.0,-0.10091480846197827,-15670.64731836548,12493.64731836548,0.1668362480127186
purchase_time,0.3,15741,3344,0.4758787533798207,0.2124388539482879,1.5862020476673928,3.0,0.15,75.0,501.59999999999997,47223.0,37620.0,-9603.0,-0.20335429769392033,-23505.97097754822,13902.970977548219,0.18828947368421053
purchase_time,0.5,26234,4651,0.6618756225985485,0.1772890142563086,1.3237512451970967,3.0,0.15,75.0,697.65,78702.0,52323.75,-26378.25,-0.3351661965388427,-39175.125,12796.875,0.22562029671038486
purchase_time,1.0,52468,7027,1.0,0.13392925211557521,1.0,3.0,0.15,75.0,1054.05,157404.0,79053.75,-78350.25,-0.49776530456659296,-78350.25,0.0,0.2986651487121104
post_delivery,0.01,525,378,0.053792514586594564,0.72,5.375972676817987,12.0,0.35,75.0,132.29999999999998,6300.0,9922.499999999998,3622.499999999998,0.5749999999999997,-4454.287494282229,8076.787494282227,0.2222222222222222
post_delivery,0.02,1050,752,0.10701579621460082,0.7161904761904762,5.347528376940644,12.0,0.35,75.0,263.2,12600.0,19740.0,7140.0,0.5666666666666667,-8908.574988564458,16048.574988564458,0.22340425531914893
post_delivery,0.05,2624,1777,0.2528817418528533,0.6772103658536586,5.056478365676641,12.0,0.35,75.0,621.9499999999999,31488.0,46646.24999999999,15158.249999999993,0.4813976753048778,-22262.953114279182,37421.203114279175,0.23626336522228475
post_delivery,0.1,5247,2927,0.41653621744699015,0.5578425767105012,4.165203403279717,12.0,0.35,75.0,1024.45,62964.0,76833.75,13869.75,0.22028063655422145,-44517.42187142639,58387.17187142639,0.28681926887598225
post_delivery,0.2,10494,3973,0.5653906361178312,0.3785972936916333,2.826845425560355,12.0,0.35,75.0,1390.55,125928.0,104291.25,-21636.75,-0.1718184200495521,-89034.84374285278,67398.09374285278,0.4226126352881953
post_delivery,0.3,15741,4565,0.6496371139889,0.29000698812019565,2.165374505861737,12.0,0.35,75.0,1597.75,188892.0,119831.25,-69060.75,-0.365609713487072,-133552.2656142792,64491.5156142792,0.551710843373494
post_delivery,0.5,26234,5497,0.7822683933399743,0.20953724174735078,1.5645367866799487,12.0,0.35,75.0,1923.9499999999998,314808.0,144296.25,-170511.75,-0.5416372836776702,-222578.625,52066.875,0.7635874113152629
post_delivery,1.0,52468,7027,1.0,0.13392925211557521,1.0,12.0,0.35,75.0,2459.45,629616.0,184458.75,-445157.25,-0.7070297609971792,-445157.25,0.0,1.1946605948484417
