strategy,scenario,coverage_share,orders_contacted,observed_low_reviews_in_segment,low_reviews_captured_share,segment_low_review_rate,lift_vs_baseline,cost_per_contact_brl,assumed_intervention_effectiveness,value_per_successful_recovery_brl,expected_successful_recoveries,intervention_cost_brl,expected_benefit_brl,expected_net_value_brl,expected_roi,random_selection_expected_net_value_brl,incremental_net_value_vs_random_brl,break_even_effectiveness
purchase_time,conservative,0.01,525,255,0.036288601110004266,0.4857142857142857,3.626648234361341,3.75,0.0975,56.25,24.8625,1968.75,1398.515625,-570.234375,-0.28964285714285715,-1583.127922912537,1012.8935479125371,0.13725490196078433
purchase_time,conservative,0.02,1050,447,0.06361178312224278,0.4257142857142857,3.178650511293175,3.75,0.0975,56.25,43.5825,3937.5,2451.515625,-1485.984375,-0.37739285714285714,-3166.255845825074,1680.2714708250742,0.15659955257270694
purchase_time,conservative,0.05,2624,945,0.1344812864664864,0.3601371951219512,2.689010723446497,3.75,0.0975,56.25,92.1375,9840.0,5182.734375,-4657.265625,-0.47329935213414637,-7912.624132804756,3255.3585078047563,0.18511463844797177
purchase_time,conservative,0.1,5247,1542,0.21943930553579052,0.2938822184105203,2.194309411635574,3.75,0.0975,56.25,150.345,19676.25,8456.90625,-11219.34375,-0.5701972555746141,-15822.232783851585,4602.889033851585,0.22684824902723735
purchase_time,conservative,0.2,10494,2516,0.3580475309520421,0.23975605107680578,1.7901694162370634,3.75,0.0975,56.25,245.31,39352.5,13798.6875,-25553.8125,-0.6493567753001716,-31644.46556770317,6090.65306770317,0.278060413354531
purchase_time,conservative,0.3,15741,3344,0.4758787533798207,0.2124388539482879,1.5862020476673928,3.75,0.0975,56.25,326.04,59028.75,18339.75,-40689.0,-0.6893081761006289,-47466.698351554754,6777.6983515547545,0.3138157894736842
purchase_time,conservative,0.5,26234,4651,0.6618756225985485,0.1772890142563086,1.3237512451970967,3.75,0.0975,56.25,453.4725,98377.5,25507.828125,-72869.671875,-0.7407148166501487,-79108.1484375,6238.4765625,0.37603382785064143
purchase_time,conservative,1.0,52468,7027,1.0,0.13392925211557521,1.0,3.75,0.0975,56.25,685.1325,196755.0,38538.703125,-158216.296875,-0.8041284687809712,-158216.296875,0.0,0.4977752478535174
purchase_time,base,0.01,525,255,0.036288601110004266,0.4857142857142857,3.626648234361341,3.0,0.15,75.0,38.25,1575.0,2868.75,1293.75,0.8214285714285714,-783.980354692384,2077.730354692384,0.08235294117647059
purchase_time,base,0.02,1050,447,0.06361178312224278,0.4257142857142857,3.178650511293175,3.0,0.15,75.0,67.05,3150.0,5028.75,1878.75,0.5964285714285714,-1567.960709384768,3446.710709384768,0.09395973154362416
purchase_time,base,0.05,2624,945,0.1344812864664864,0.3601371951219512,2.689010723446497,3.0,0.15,75.0,141.75,7872.0,10631.25,2759.25,0.3505144817073171,-3918.4084775482197,6677.65847754822,0.11106878306878307
purchase_time,base,0.1,5247,1542,0.21943930553579052,0.2938822184105203,2.194309411635574,3.0,0.15,75.0,231.29999999999998,15741.0,17347.5,1606.5,0.10205831903945112,-7835.32365918274,9441.82365918274,0.1361089494163424
purchase_time,base,0.2,10494,2516,0.3580475309520421,0.23975605107680578,1.7901694162370634,3.0,0.15,75.0,377.4,31482.0,28305.0,-3177.0,-0.10091480846197827,-15670.64731836548,12493.64731836548,0.1668362480127186
purchase_time,base,0.3,15741,3344,0.4758787533798207,0.2124388539482879,1.5862020476673928,3.0,0.15,75.0,501.59999999999997,47223.0,37620.0,-9603.0,-0.20335429769392033,-23505.97097754822,13902.970977548219,0.18828947368421053
purchase_time,base,0.5,26234,4651,0.6618756225985485,0.1772890142563086,1.3237512451970967,3.0,0.15,75.0,697.65,78702.0,52323.75,-26378.25,-0.3351661965388427,-39175.125,12796.875,0.22562029671038486
purchase_time,base,1.0,52468,7027,1.0,0.13392925211557521,1.0,3.0,0.15,75.0,1054.05,157404.0,79053.75,-78350.25,-0.49776530456659296,-78350.25,0.0,0.2986651487121104
purchase_time,optimistic,0.01,525,255,0.036288601110004266,0.4857142857142857,3.626648234361341,2.4000000000000004,0.2025,93.75,51.6375,1260.0000000000002,4841.015625,3581.015625,2.8420758928571423,74.8456514566019,3506.169973543398,0.052705882352941186
purchase_time,optimistic,0.02,1050,447,0.06361178312224278,0.4257142857142857,3.178650511293175,2.4000000000000004,0.2025,93.75,90.51750000000001,2520.0000000000005,8486.015625000002,5966.015625000002,2.3674665178571432,149.6913029132038,5816.324322086798,0.060134228187919476
purchase_time,optimistic,0.05,2624,945,0.1344812864664864,0.3601371951219512,2.689010723446497,2.4000000000000004,0.2025,93.75,191.3625,6297.600000000001,17940.234375,11642.634374999998,1.8487414848513712,374.0856941373786,11268.54868086262,0.07108402116402118
purchase_time,optimistic,0.1,5247,1542,0.21943930553579052,0.2938822184105203,2.194309411635574,2.4000000000000004,0.2025,93.75,312.255,12592.800000000001,29273.90625,16681.106249999997,1.324654266723842,748.0288251291258,15933.077424870871,0.08710972762645915
purchase_time,optimistic,0.2,10494,2516,0.3580475309520421,0.23975605107680578,1.7901694162370634,2.4000000000000004,0.2025,93.75,509.49,25185.600000000002,47764.6875,22579.087499999998,0.8965078259005144,1496.0576502582517,21083.029849741746,0.10677519872813991
purchase_time,optimistic,0.3,15741,3344,0.4758787533798207,0.2124388539482879,1.5862020476673928,2.4000000000000004,0.2025,93.75,677.1600000000001,37778.40000000001,63483.75000000001,25705.35,0.6804245283018866,2244.0864753873757,23461.263524612623,0.12050526315789477
purchase_time,optimistic,0.5,26234,4651,0.6618756225985485,0.1772890142563086,1.3237512451970967,2.4000000000000004,0.2025,93.75,941.8275000000001,62961.600000000006,88296.32812500001,25334.72812500001,0.4023838041758787,3740.0015625000087,21594.7265625,0.14439698989464633
purchase_time,optimistic,1.0,52468,7027,1.0,0.13392925211557521,1.0,2.4000000000000004,0.2025,93.75,1422.9675000000002,125923.20000000001,133403.20312500003,7480.0031250000175,0.05940131067984308,7480.0031250000175,0.0,0.1911456951757507
post_delivery,conservative,0.01,525,378,0.053792514586594564,0.72,5.375972676817987,15.0,0.22749999999999998,56.25,85.99499999999999,7875.0,4837.218749999999,-3037.781250000001,-0.3857500000000001,-6975.215153462586,3937.4339034625855,0.37037037037037035
post_delivery,conservative,0.02,1050,752,0.10701579621460082,0.7161904761904762,5.347528376940644,15.0,0.22749999999999998,56.25,171.07999999999998,15750.0,9623.25,-6126.75,-0.389,-13950.430306925173,7823.680306925173,0.3723404255319149
post_delivery,conservative,0.05,2624,1777,0.2528817418528533,0.6772103658536586,5.056478365676641,15.0,0.22749999999999998,56.25,404.2675,39360.0,22740.046875,-16619.953125,-0.42225490663109755,-34862.7896432111,18242.8365182111,0.3937722753704746
post_delivery,conservative,0.1,5247,2927,0.41653621744699015,0.5578425767105012,4.165203403279717,15.0,0.22749999999999998,56.25,665.8924999999999,78705.0,37456.45312499999,-41248.54687500001,-0.5240905517438538,-69712.29316232036,28463.746287320355,0.4780321147933037
