strategy,recommended_coverage_share,orders_contacted,observed_low_reviews_in_segment,cost_per_contact_brl,assumed_intervention_effectiveness,value_per_successful_recovery_brl,expected_net_value_brl,expected_roi
purchase_time,0.05,2624,945,2.0,0.1,75.0,1839.5,0.3505144817073171
purchase_time,0.05,2624,945,2.0,0.2,75.0,8927.0,1.701028963414634
purchase_time,0.05,2624,945,2.0,0.3,75.0,16014.5,3.0515434451219514
purchase_time,0.05,2624,945,2.0,0.4,75.0,23102.0,4.4020579268292686
purchase_time,0.05,2624,945,2.0,0.5,75.0,30189.5,5.752572408536586
purchase_time,0.05,2624,945,5.0,0.1,75.0,-6032.5,-0.45979420731707316
purchase_time,0.05,2624,945,5.0,0.2,75.0,1055.0,0.08041158536585366
purchase_time,0.05,2624,945,5.0,0.3,75.0,8142.5,0.6206173780487805
purchase_time,0.05,2624,945,5.0,0.4,75.0,15230.0,1.1608231707317074
purchase_time,0.05,2624,945,5.0,0.5,75.0,22317.5,1.701028963414634
purchase_time,0.05,2624,945,10.0,0.1,75.0,-19152.5,-0.7298971036585366
purchase_time,0.05,2624,945,10.0,0.2,75.0,-12065.0,-0.45979420731707316
purchase_time,0.05,2624,945,10.0,0.3,75.0,-4977.5,-0.18969131097560976
purchase_time,0.05,2624,945,10.0,0.4,75.0,2110.0,0.08041158536585366
purchase_time,0.05,2624,945,10.0,0.5,75.0,9197.5,0.3505144817073171
purchase_time,0.05,2624,945,15.0,0.1,75.0,-32272.5,-0.8199314024390244
purchase_time,0.05,2624,945,15.0,0.2,75.0,-25185.0,-0.6398628048780488
purchase_time,0.05,2624,945,15.0,0.3,75.0,-18097.5,-0.45979420731707316
purchase_time,0.05,2624,945,15.0,0.4,75.0,-11010.0,-0.27972560975609756
purchase_time,0.05,2624,945,15.0,0.5,75.0,-3922.5,-0.09965701219512195
purchase_time,0.05,2624,945,20.0,0.1,75.0,-45392.5,-0.8649485518292683
purchase_time,0.05,2624,945,20.0,0.2,75.0,-38305.0,-0.7298971036585366
purchase_time,0.05,2624,945,20.0,0.3,75.0,-31217.5,-0.5948456554878049
purchase_time,0.05,2624,945,20.0,0.4,75.0,-24130.0,-0.45979420731707316
purchase_time,0.05,2624,945,20.0,0.5,75.0,-17042.5,-0.3247427591463415
post_delivery,0.05,2624,1777,2.0,0.1,75.0,8079.500000000002,1.53953887195122
post_delivery,0.05,2624,1777,2.0,0.2,75.0,21407.000000000004,4.07907774390244
post_delivery,0.05,2624,1777,2.0,0.3,75.0,34734.5,6.618616615853658
post_delivery,0.05,2624,1777,2.0,0.4,75.0,48062.00000000001,9.15815548780488
post_delivery,0.05,2624,1777,2.0,0.5,75.0,61389.5,11.697694359756097
post_delivery,0.05,2624,1777,5.0,0.1,75.0,207.50000000000182,0.015815548780487944
post_delivery,0.05,2624,1777,5.0,0.2,75.0,13535.000000000004,1.031631097560976
post_delivery,0.05,2624,1777,5.0,0.3,75.0,26862.5,2.0474466463414633
post_delivery,0.05,2624,1777,5.0,0.4,75.0,40190.00000000001,3.063262195121952
post_delivery,0.05,2624,1777,5.0,0.5,75.0,53517.5,4.079077743902439
post_delivery,0.05,2624,1777,10.0,0.1,75.0,-12912.499999999998,-0.492092225609756
post_delivery,0.05,2624,1777,10.0,0.2,75.0,415.00000000000364,0.015815548780487944
post_delivery,0.05,2624,1777,10.0,0.3,75.0,13742.5,0.5237233231707317
post_delivery,0.05,2624,1777,10.0,0.4,75.0,27070.000000000007,1.031631097560976
post_delivery,0.05,2624,1777,10.0,0.5,75.0,40397.5,1.5395388719512195
post_delivery,0.05,2624,1777,15.0,0.1,75.0,-26032.5,-0.6613948170731707
post_delivery,0.05,2624,1777,15.0,0.2,75.0,-12704.999999999996,-0.3227896341463414
post_delivery,0.05,2624,1777,15.0,0.3,75.0,622.5,0.015815548780487805
post_delivery,0.05,2624,1777,15.0,0.4,75.0,13950.000000000007,0.35442073170731725
post_delivery,0.05,2624,1777,15.0,0.5,75.0,27277.5,0.6930259146341463
post_delivery,0.05,2624,1777,20.0,0.1,75.0,-39152.5,-0.7460461128048781
post_delivery,0.05,2624,1777,20.0,0.2,75.0,-25824.999999999996,-0.492092225609756
post_delivery,0.05,2624,1777,20.0,0.3,75.0,-12497.5,-0.23813833841463414
post_delivery,0.05,2624,1777,20.0,0.4,75.0,830.0000000000073,0.015815548780487944
post_delivery,0.05,2624,1777,20.0,0.5,75.0,14157.5,0.26976943597560976
