feature,coefficient,abs_coefficient
cat__customer_state_infrequent_sklearn,-1.8255600463009936,1.8255600463009936
cat__main_product_category_food_drink,-1.5854249240580565,1.5854249240580565
cat__main_product_category_fashion_male_clothing,1.1581018235423894,1.1581018235423894
cat__main_product_category_drinks,-1.063014166335854,1.063014166335854
cat__main_product_category_food,-0.705179322745706,0.705179322745706
cat__main_seller_state_MT,-0.6982230054332121,0.6982230054332121
cat__main_product_category_audio,0.6844285987129297,0.6844285987129297
cat__main_product_category_luggage_accessories,-0.633116085046115,0.633116085046115
cat__main_product_category_books_general_interest,-0.6282579284580895,0.6282579284580895
cat__main_seller_state_ES,0.5856092247831189,0.5856092247831189
cat__main_product_category_air_conditioning,0.5306908137579471,0.5306908137579471
cat__main_product_category_furniture_living_room,-0.529408468922903,0.529408468922903
cat__customer_state_AC,0.5132166326857072,0.5132166326857072
cat__main_product_category_home_confort,0.5122502347000084,0.5122502347000084
cat__main_product_category_computers,0.5117281012575666,0.5117281012575666
cat__customer_state_AM,-0.5104076316134998,0.5104076316134998
cat__main_seller_state_RS,-0.4488835406609633,0.4488835406609633
cat__main_product_category_unknown,0.41924087143767397,0.41924087143767397
cat__main_seller_state_DF,0.40863195331453783,0.40863195331453783
num__is_late_num,0.40241768189334043,0.40241768189334043
cat__customer_state_TO,-0.3827032589977206,0.3827032589977206
cat__customer_state_RJ,0.375954857051173,0.375954857051173
cat__main_product_category_home_construction,0.3602494529057617,0.3602494529057617
cat__main_product_category_office_furniture,0.35968583579637803,0.35968583579637803
cat__customer_state_DF,0.33836818492711473,0.33836818492711473
cat__customer_state_SP,0.31027292519811106,0.31027292519811106
cat__main_product_category_tablets_printing_image,0.29896542542845717,0.29896542542845717
num__delivery_days,0.28567704267851735,0.28567704267851735
cat__customer_state_PI,-0.2835317844648572,0.2835317844648572
cat__main_seller_state_BA,-0.2797090022418066,0.2797090022418066
cat__main_product_category_consoles_games,-0.27580553989945183,0.27580553989945183
cat__customer_state_RN,-0.27340737844636837,0.27340737844636837
num__item_count,0.2732285487779201,0.2732285487779201
cat__main_product_category_small_appliances,0.2519794506363377,0.2519794506363377
cat__main_product_category_computers_accessories,0.24956053500459835,0.24956053500459835
cat__customer_state_MG,0.24608138517652048,0.24608138517652048
cat__main_product_category_kitchen_dining_laundry_garden_furniture,-0.23692033249767466,0.23692033249767466
cat__main_product_category_stationery,-0.2252568246540444,0.2252568246540444
cat__main_product_category_pet_shop,-0.21745795302225998,0.21745795302225998
cat__customer_state_BA,0.2143151351432515,0.2143151351432515
cat__main_product_category_telephony,0.21424250325774946,0.21424250325774946
cat__main_product_category_sports_leisure,-0.21304620707462438,0.21304620707462438
cat__main_product_category_construction_tools_construction,-0.2072748589679044,0.2072748589679044
cat__customer_state_GO,0.20452490522196837,0.20452490522196837
cat__main_product_category_electronics,0.20440827689011562,0.20440827689011562
cat__customer_state_SE,0.19532071101370138,0.19532071101370138
cat__main_product_category_bed_bath_table,0.19413180966606494,0.19413180966606494
cat__main_product_category_fixed_telephony,0.18564761016972736,0.18564761016972736
cat__main_product_category_musical_instruments,0.18448958186488157,0.18448958186488157
cat__primary_payment_type_credit_card,-0.18055971592358422,0.18055971592358422
cat__main_seller_state_SP,0.17846401563264852,0.17846401563264852
cat__primary_payment_type_boleto,-0.17252630544227718,0.17252630544227718
cat__main_product_category_fashion_shoes,-0.1702978111612826,0.1702978111612826
cat__main_product_category_furniture_decor,0.16887959204545774,0.16887959204545774
cat__main_seller_state_infrequent_sklearn,0.16804931852298574,0.16804931852298574
cat__main_product_category_garden_tools,-0.16442906081837635,0.16442906081837635
cat__main_product_category_market_place,0.16160144818568833,0.16160144818568833
num__estimated_delivery_days,0.15157519715643644,0.15157519715643644
num__delivery_delta_days,0.150735573156661,0.150735573156661
cat__main_seller_state_GO,-0.14849587724200114,0.14849587724200114
cat__customer_state_PR,0.14824610214335768,0.14824610214335768
cat__main_product_category_costruction_tools_garden,-0.14716797150483568,0.14716797150483568
cat__customer_state_ES,0.14510158968286752,0.14510158968286752
num__seller_count,0.1443662903421062,0.1443662903421062
cat__customer_state_MA,0.13432774662037156,0.13432774662037156
cat__customer_state_MT,0.13258309375508712,0.13258309375508712
cat__customer_state_MS,0.12485752741489771,0.12485752741489771
cat__customer_state_CE,-0.11496837399548372,0.11496837399548372
cat__purchase_month_2017-07,-0.1143542444221134,0.1143542444221134
cat__purchase_month_2017-08,-0.11328787014675518,0.11328787014675518
