feature,coefficient,absolute_coefficient
cat__main_product_category_food_drink,-1.1779786067304032,1.1779786067304032
cat__main_product_category_fashion_male_clothing,1.081209021122951,1.081209021122951
cat__customer_state_infrequent_sklearn,-0.9929112728613647,0.9929112728613647
num__seller_prior_deliveries_mean,-0.7355240062551228,0.7355240062551228
cat__main_seller_state_MT,-0.7098042218775462,0.7098042218775462
cat__main_product_category_audio,0.7010438186501915,0.7010438186501915
cat__main_product_category_drinks,-0.6996832324549905,0.6996832324549905
cat__customer_state_AL,0.6536491095067634,0.6536491095067634
cat__main_product_category_luggage_accessories,-0.6482693728302921,0.6482693728302921
num__seller_prior_late_rate_mean,0.5366936461982407,0.5366936461982407
num__seller_prior_late_rate_max,-0.5317910955651983,0.5317910955651983
cat__customer_state_TO,-0.4920338688971332,0.4920338688971332
num__seller_prior_orders_max,0.45586983231998707,0.45586983231998707
cat__main_product_category_home_confort,0.4531199497924565,0.4531199497924565
cat__customer_state_SE,0.44157253534189217,0.44157253534189217
cat__main_seller_state_ES,0.4386508804692819,0.4386508804692819
cat__main_product_category_books_general_interest,-0.4359988779288188,0.4359988779288188
cat__main_seller_state_RS,-0.4055724021479796,0.4055724021479796
num__seller_prior_orders_mean,0.4001031599680715,0.4001031599680715
cat__customer_state_MA,0.39294198684996673,0.39294198684996673
cat__customer_state_AM,-0.3787230909017282,0.3787230909017282
cat__main_seller_state_DF,0.37485927376925426,0.37485927376925426
cat__main_product_category_unknown,0.3709048708970934,0.3709048708970934
cat__main_product_category_kitchen_dining_laundry_garden_furniture,-0.3684876626732768,0.3684876626732768
num__seller_prior_low_review_rate_max,0.36739640544285934,0.36739640544285934
cat__main_product_category_air_conditioning,0.36589091398174245,0.36589091398174245
cat__purchase_month_2016-10,0.3636493599548818,0.3636493599548818
cat__customer_state_AC,0.33491968871774463,0.33491968871774463
cat__customer_state_RJ,0.3333120220311136,0.3333120220311136
cat__purchase_month_2017-11,0.32949194417096317,0.32949194417096317
cat__main_product_category_office_furniture,0.3272651684422023,0.3272651684422023
cat__main_product_category_furniture_living_room,-0.3218430232655077,0.3218430232655077
cat__main_product_category_food,-0.31681287310107253,0.31681287310107253
cat__main_product_category_computers,0.3106007070655903,0.3106007070655903
cat__main_product_category_garden_tools,-0.30591605842407416,0.30591605842407416
cat__main_product_category_musical_instruments,0.2846017801633393,0.2846017801633393
cat__purchase_month_2017-08,-0.2787914788570307,0.2787914788570307
num__seller_prior_low_review_rate_mean,-0.2762225738462555,0.2762225738462555
cat__customer_state_BA,0.263110871174121,0.263110871174121
num__seller_prior_reviews_mean,-0.2553349630901155,0.2553349630901155
num__seller_prior_orders_min,0.25215567173485,0.25215567173485
cat__purchase_month_2017-07,-0.24689012097334112,0.24689012097334112
cat__main_seller_state_SP,0.23642369895810567,0.23642369895810567
cat__main_product_category_pet_shop,-0.2344889547008646,0.2344889547008646
num__item_count,0.22509618715508628,0.22509618715508628
cat__purchase_month_infrequent_sklearn,0.22474476299269305,0.22474476299269305
cat__purchase_month_2017-05,-0.2158140604980988,0.2158140604980988
cat__main_product_category_stationery,-0.2155508202000404,0.2155508202000404
cat__customer_state_PR,-0.21311366668125617,0.21311366668125617
cat__main_product_category_furniture_decor,0.2097924994130764,0.2097924994130764
