order_month,active_sellers,alert_eligible_sellers,seller_orders,seller_gmv,delivered_orders,late_orders,reviewed_orders,low_review_orders,canceled_orders,insufficient_volume,stable,watch,critical,late_rate,low_review_rate,cancellation_rate
2017-02,427,101,1746,286280.62,1666,53,1735,252,15,326,84,6,11,0.03181272509003601,0.1452449567723343,0.00859106529209622
2017-03,499,150,2646,432048.59,2551,142,2626,353,24,349,114,20,16,0.05566444531556253,0.13442498095963443,0.009070294784580499
2017-04,506,135,2409,412422.24,2321,183,2392,369,14,371,106,15,14,0.07884532529082292,0.15426421404682275,0.005811540058115401
2017-05,583,201,3692,586190.95,3578,128,3658,448,20,382,157,23,21,0.03577417551704863,0.1224712957900492,0.005417118093174431
2017-06,539,174,3242,502963.04,3160,121,3216,403,12,365,137,20,17,0.03829113924050633,0.12531094527363185,0.003701418877236274
2017-07,606,203,4037,584971.62,3940,133,4002,475,23,403,158,25,20,0.03375634517766497,0.11869065467266367,0.00569729997522913
2017-08,708,239,4353,668204.6,4253,140,4320,490,21,469,183,33,23,0.03291794027745121,0.11342592592592593,0.004824259131633356
2017-09,731,224,4289,720398.91,4196,216,4254,515,16,507,173,28,23,0.05147759771210677,0.12106252938410908,0.0037304733038004195
2017-10,776,236,4637,769312.37,4547,237,4599,587,21,540,181,31,24,0.052122278425335386,0.12763644270493585,0.004528790166055639
2017-11,965,348,7548,1179143.77,7386,1046,7486,1389,30,617,269,44,35,0.14161927971838614,0.18554635319262625,0.00397456279809221
2017-12,861,278,5686,863547.23,5575,465,5629,913,6,583,211,39,28,0.08340807174887892,0.16219577189554094,0.001055223355610271
2018-01,970,351,7333,1107301.89,7182,464,7265,1153,33,619,267,48,36,0.06460595934280144,0.15870612525808672,0.004500204554752489
2018-02,947,342,6746,986908.96,6607,1050,6690,1404,70,605,257,50,35,0.15892235507794764,0.20986547085201793,0.010376519418914912
2018-03,996,354,7281,1155126.82,7096,1501,7217,1666,20,642,269,51,34,0.21152762119503946,0.23084384093113483,0.0027468754291992857
2018-04,1123,366,7069,1159698.04,6931,361,7011,963,15,757,280,49,37,0.052084836242966386,0.13735558408215662,0.002121940868581129
2018-05,1115,349,6967,1149781.82,6863,557,6931,849,20,766,268,46,35,0.08115984263441643,0.12249314673207329,0.002870676044208411
2018-06,1175,313,6274,1022677.11,6213,83,6247,698,15,862,264,26,23,0.013359085787864156,0.11173363214342885,0.0023908192540643925
2018-07,1261,305,6374,1058728.03,6260,276,6328,714,40,956,236,38,31,0.044089456869009586,0.11283185840707964,0.006275494195167869
2018-08,1278,343,6571,1003308.47,6470,661,6546,737,31,935,260,49,34,0.10216383307573416,0.11258783990223037,0.004717698980368285
