queue_rank,order_month,seller_id,seller_state,seller_city,risk_status,risk_transition,action_tier,owner,sla_business_days,seller_orders,seller_gmv,commercial_value_at_risk_brl,priority_score,experience_risk_score,diagnostic_focus,first_action,success_metric,alert_reason
1,2018-08,c70c1b0d8ca86052f45a432a38b73958,SP,hortolandia,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,44,6968.98,1116.317001413076,88.38028169014083,82.64866979655712,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
2,2018-08,e9bc59e7b60fc3063eb2290deda4cced,PR,maringa,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,31,4088.05,901.9165564362011,87.6587441314554,84.92370892018779,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
3,2018-08,16090f2ca825584b5a147ab24aa30c86,SP,atibaia,critical,unchanged,P1 Critical Stabilization,Account Manager,3,41,3690.42,620.2178413547501,86.70715962441315,83.16510172143975,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
4,2018-08,c33847515fa6305ce6feb1e818569f13,SC,brusque,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,33,5622.78,1511.971567715269,85.2283841940532,77.92449139280124,customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; material deterioration vs seller history; high value exposure
5,2018-08,cab85505710c7cb9b720bceb52b01cee,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,19,1228.53,196.9351481820959,83.39740191955467,78.94953051643192,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
6,2018-08,8b9d6eec4a7eb7d0f9d579ce0b38324d,RJ,mesquita,critical,unchanged,P1 Critical Stabilization,Account Manager,3,15,1663.57,344.68014447208753,82.61638109575448,84.67527386541471,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Review fulfillment process and agree on corrective operating plan.,Move seller from critical to watch or stable within two months.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
7,2018-08,87142160b41353c4e5fca2360caf6f92,RS,porto alegre,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,15,2136.9300000000003,320.64676155558465,82.31340731868046,79.78482003129889,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
8,2018-08,f46490624488d3ff7ce78613913a7711,SP,guarulhos,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,25,2514.27,461.04765699154683,79.40747261345854,84.15884194053208,fulfillment delay; customer dissatisfaction; commercial exposure,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; high value exposure
9,2018-08,fe2032dab1a61af8794248c8196565c9,SP,campinas,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,17,3739.01,429.6584104177505,78.25111941047643,73.05751173708921,fulfillment delay; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high late-delivery risk; material deterioration vs seller history; high value exposure
10,2018-08,271c58a1d139c45eaf3316107c6d3a3b,SP,sao paulo,critical,escalated,P0 Critical Escalation,Seller Operations Lead,2,11,1623.35,327.3803031647004,77.45286382724593,81.6510172143975,fulfillment delay; customer dissatisfaction; commercial exposure; recent performance deterioration,Open seller-level incident review and inspect recent delayed orders.,Reduce late rate and low-review rate in next monitoring month.,high low-review risk; high late-delivery risk; material deterioration vs seller history; high value exposure
